,div?,home?,passing,rush,receive,kick,fumble,fum_lost,score,kicker_ratio,time,oppo_tot,oppo_sack,oppo_inn,pen_dif,pen_yard_dif
0,0,0,93.0,3.9,12.8,10,0,0,34,1.0,0,63,0,3,4,29
1,0,1,100.4,4.7,10.2,8,2,0,42,0.8,0,62,2,0,-4,-29
2,0,0,71.2,4.7,10.9,6,4,3,6,1.0,1,61,5,2,1,4
3,0,1,113.3,4.3,10.9,6,2,1,24,1.0,1,64,2,0,-1,-4
4,0,0,76.2,3.8,7.4,4,1,1,10,1.0,1,75,3,2,2,13
5,0,1,83.8,3.9,10.2,13,1,1,19,1.0,1,68,2,0,-2,-13
6,1,0,118.7,3.7,15.5,5,1,0,17,1.0,1,50,3,0,-2,5
7,1,1,138.2,3.7,14.1,5,0,0,35,1.0,1,72,3,0,2,-5
8,0,0,106.5,4.7,11.7,8,3,2,20,0.8,1,66,5,0,3,-8
9,0,1,80.2,3.6,13.3,11,1,1,23,1.0,1,65,3,0,-3,8
10,1,0,99.0,3.2,8.4,3,3,1,21,1.0,1,46,0,0,2,15
11,1,1,85.5,4.4,10.1,11,0,0,23,0.8333333333333334,1,89,1,1,-2,-15
12,1,0,81.2,2.9,9.1,3,1,0,3,1.0,1,65,1,0,1,15
13,1,1,126.5,6.4,11.1,3,0,0,21,1.0,1,54,1,0,-1,-15
14,0,0,94.0,6.1,10.6,11,0,0,23,1.0,1,75,1,0,-5,-14
15,0,1,73.1,6.8,14.1,3,1,1,17,0.5,1,54,0,0,5,14
16,0,0,95.8,4.7,10.8,8,0,0,20,0.8,2,70,1,1,-2,-30
17,0,1,116.2,6.1,11.5,8,2,0,38,1.0,2,51,1,0,2,30
18,0,0,72.8,6.5,7.6,10,0,0,16,1.0,2,54,3,0,7,51
19,0,1,56.9,3.8,9.4,3,1,0,9,0.3333333333333333,2,63,1,1,-7,-51
20,0,0,105.5,6.3,10.5,13,1,1,37,1.0,2,67,2,1,0,-2
21,0,1,84.8,3.5,8.9,3,2,1,23,1.0,2,60,3,1,0,2
22,0,0,125.1,5.3,16.9,6,2,1,44,0.8571428571428571,2,57,1,1,-2,4
23,0,1,84.4,4.8,12.7,11,1,1,23,1.0,2,73,5,2,2,-4
24,0,0,66.2,4.1,8.0,4,0,0,10,1.0,2,82,2,3,0,10
25,0,1,92.7,4.1,12.4,10,0,0,16,1.0,2,62,0,0,0,-10
26,0,0,85.2,5.4,13.8,15,5,0,33,1.0,2,90,4,1,0,5
27,0,1,54.5,3.7,11.6,2,1,1,14,1.0,2,48,1,3,0,-5
