,Unnamed: 0,div?,home?,passing,rush,receive,kick,fumble,fum_lost,score,kicker_ratio,time,oppo_tot,oppo_sack,oppo_inn,pen_dif,pen_yard_dif
0,0,0,0,107.2,4.2,12.1,6,1,1,30,1.0,0,64,2,1,5,21
1,1,0,1,134.3,8.7,12.4,9,2,0,45,1.0,0,68,1,0,-5,-21
2,2,0,0,104.3,5.5,11.0,7,0,0,31,1.0,1,53,0,0,0,46
3,3,0,1,88.1,5.5,9.9,10,0,0,34,1.0,1,90,3,2,0,-46
4,4,0,0,85.2,3.9,11.6,6,3,1,24,0.8,1,67,2,1,-4,-48
5,5,0,1,26.3,3.4,10.8,6,2,0,6,1.0,1,59,1,3,4,48
6,6,1,0,132.6,6.7,15.6,11,2,0,41,0.875,1,46,2,0,6,53
7,7,1,1,68.4,3.7,9.9,4,4,1,16,1.0,1,72,5,2,-6,-53
8,8,0,0,107.6,4.6,13.1,10,0,0,30,0.6666666666666666,1,78,4,0,0,-1
9,9,0,1,73.9,4.9,12.2,0,2,1,16,0.0,1,46,2,1,0,1
10,10,0,0,62.7,5.1,8.5,6,2,1,6,1.0,1,60,4,2,4,64
11,11,0,1,75.1,2.9,8.9,9,1,1,9,0.75,1,61,2,0,-4,-64
12,12,0,0,41.9,4.1,10.0,9,1,1,9,1.0,1,62,5,3,6,47
13,13,0,1,64.5,1.9,9.4,5,3,3,17,1.0,1,77,4,2,-6,-47
14,14,1,0,135.8,1.4,14.9,9,2,0,27,1.0,1,67,2,0,-4,2
15,15,1,1,97.2,4.4,10.4,7,1,1,25,1.0,1,71,1,0,4,-2
16,16,0,0,72.4,5.8,9.9,10,2,1,16,0.8,1,81,1,2,2,30
17,17,0,1,104.2,4.8,7.3,11,1,1,23,1.0,1,70,3,0,-2,-30
18,18,0,0,123.2,3.3,11.1,7,0,0,27,0.75,2,79,0,0,1,5
19,19,0,1,115.3,4.5,14.7,6,1,0,24,1.0,2,62,1,0,-1,-5
20,20,0,0,69.5,4.9,10.0,1,3,1,7,0.3333333333333333,2,59,1,1,-2,-14
21,21,0,1,74.8,3.1,8.3,7,1,0,13,1.0,2,57,1,0,2,14
22,22,1,0,122.5,4.2,12.3,7,1,0,31,1.0,2,88,2,0,6,49
23,23,1,1,100.6,3.5,11.6,5,2,2,17,1.0,2,63,5,1,-6,-49
24,24,0,0,79.7,2.7,7.5,4,0,0,28,1.0,2,56,3,1,-8,-96
25,25,0,1,71.0,4.5,9.5,10,0,0,16,1.0,2,75,5,2,8,96
26,26,0,0,89.9,5.2,17.1,9,1,1,27,0.8333333333333334,2,57,3,1,7,85
27,27,0,1,111.1,3.3,9.8,11,1,1,29,0.8333333333333334,2,78,4,0,-7,-85
28,28,0,0,73.6,4.1,9.2,4,2,1,10,0.6666666666666666,0,66,4,1,-7,-77
29,29,0,1,82.4,2.7,16.5,10,2,0,22,1.0,0,53,4,0,7,77
30,30,0,0,13.6,4.3,13.1,3,1,0,3,1.0,1,56,2,3,-2,-39
31,31,0,1,123.5,3.1,11.3,5,1,1,43,1.0,1,81,0,0,2,39
32,32,1,0,59.5,7.5,10.1,3,2,1,17,0.3333333333333333,1,65,3,0,1,32
33,33,1,1,78.1,4.7,8.2,11,0,0,23,1.0,1,57,1,0,-1,-32
34,34,0,0,67.0,5.0,8.1,1,2,0,7,1.0,1,71,5,1,0,-4
35,35,0,1,151.6,5.4,12.9,9,0,0,45,1.0,1,66,2,0,0,4
36,36,1,0,125.6,5.8,17.4,9,2,1,45,1.0,1,61,2,1,-2,-19
37,37,1,1,48.0,3.2,11.0,5,1,1,17,1.0,1,69,1,4,2,19
38,38,0,0,67.8,5.9,8.1,4,0,0,16,0.5,1,87,4,0,1,25
39,39,0,1,70.6,4.7,8.1,10,3,2,16,1.0,1,85,0,1,-1,-25
40,40,0,0,105.0,4.1,14.7,3,1,1,21,0.3333333333333333,1,66,4,0,1,16
41,41,0,1,105.9,2.3,11.2,11,1,0,23,1.0,1,62,2,0,-1,-16
42,42,0,0,80.5,4.1,9.6,7,0,0,19,0.75,1,51,0,2,3,10
43,43,0,1,110.4,2.8,9.8,11,1,1,29,1.0,1,85,5,0,-3,-10
44,44,0,0,84.8,4.5,7.0,14,2,1,34,1.0,2,79,0,1,5,57
45,45,0,1,57.1,3.2,8.4,4,2,1,10,1.0,2,61,4,1,-5,-57
46,46,0,0,109.5,3.1,11.8,9,1,1,27,1.0,2,75,2,0,3,66
47,47,0,1,72.6,4.3,9.8,8,0,0,20,1.0,2,53,2,1,-3,-66
48,48,0,0,103.2,5.5,11.1,12,2,0,30,1.0,2,67,2,1,3,60
49,49,0,1,79.2,5.3,10.3,7,2,1,13,0.75,2,53,1,0,-3,-60
50,50,0,0,39.7,4.7,8.1,0,0,0,0,0.0,2,44,3,2,2,-4
51,51,0,1,75.5,3.3,12.7,5,1,0,17,0.75,2,79,1,1,-2,4
52,52,1,0,128.1,3.8,11.7,11,2,1,41,0.875,2,79,0,0,-5,-34
53,53,1,1,99.8,3.6,10.4,2,1,1,14,1.0,2,58,2,1,5,34
54,54,1,0,68.1,5.2,9.1,4,0,0,10,1.0,2,48,2,2,-4,-18
55,55,1,1,141.7,3.5,12.1,7,0,0,31,1.0,2,86,1,0,4,18
56,56,0,0,96.6,4.5,9.4,13,0,0,25,0.8333333333333334,0,79,3,1,-4,-13
57,57,0,1,35.2,2.5,7.9,0,0,0,0,0.0,0,67,4,4,4,13
58,58,0,0,86.7,5.7,9.6,11,1,0,41,1.0,1,87,0,0,-4,-26
59,59,0,1,61.3,7.0,9.5,1,2,1,15,0.3333333333333333,1,54,1,3,4,26
60,60,0,0,141.3,4.8,12.9,9,3,1,27,1.0,1,69,3,0,1,4
61,61,0,1,120.5,5.3,9.0,3,1,0,21,1.0,1,56,1,0,-1,-4
62,62,0,0,76.0,3.6,8.4,10,1,0,16,1.0,1,82,6,1,0,-22
